Year,inci_00,inci_25,inci_50,inci_38,prev_00,prev_25,prev_50,prev_38,mort_00,mort_25,mort_50,mort_38,art_00,art_25,art_50,art_38
2028,0.305811229,0.28421922,0.262859422,0.273112125,0.086530632,0.086044809,0.085584911,0.085805662,27.34639974,25.88593655,24.39377577,25.11001294,0.642572274,0.679946557,0.716852697,0.69913775
2029,0.29470709,0.270467445,0.249232996,0.259425531,0.083848771,0.0833212,0.082917942,0.083111505,27.36575191,25.47084846,23.61864763,24.50770403,0.644904013,0.685437057,0.725957691,0.706507787
2030,0.284394442,0.260639344,0.236668607,0.248174561,0.081200354,0.080719185,0.080213772,0.08045637,27.38933368,25.13468757,22.96331518,24.00557393,0.646786177,0.690663546,0.733846084,0.713118466
2031,0.273417879,0.249077275,0.225090277,0.236604036,0.07871595,0.07823023,0.077734601,0.077972503,27.43890915,24.97605977,22.46278857,23.66915875,0.648055777,0.694801357,0.740649193,0.718642232
2032,0.263824494,0.237300327,0.21505311,0.225731774,0.076313843,0.075742701,0.07524275,0.075482727,27.53433708,24.70686212,21.91685047,23.25605606,0.649281328,0.698579088,0.746787064,0.723647235
2033,0.254254984,0.229026651,0.205108564,0.216589246,0.073912125,0.073414164,0.072848562,0.073120051,27.56407455,24.46555603,21.49714669,22.92198318,0.650212602,0.702216308,0.752180645,0.728197763
2034,0.246108567,0.22120746,0.195829345,0.208010841,0.071523781,0.071117552,0.070514851,0.070804147,27.65611738,24.39295227,21.07057813,22.66531772,0.651117108,0.705453331,0.757158666,0.732340105
2035,0.237709895,0.211629537,0.186992103,0.198818072,0.069192481,0.068792594,0.068217291,0.068493436,27.79725119,24.26194293,20.76009679,22.44098294,0.652061434,0.708408295,0.761709078,0.736124702
2036,0.229019485,0.203939608,0.17926805,0.191110398,0.067021731,0.066634433,0.066092761,0.066352764,27.87374152,24.1062618,20.45490528,22.20755641,0.652484922,0.711070274,0.765704509,0.739480076
2037,0.222174544,0.195288201,0.172036815,0.18319748,0.064929962,0.064546629,0.064110905,0.064320052,27.9468067,23.94173641,20.13202284,21.96068535,0.653053355,0.713597071,0.769399751,0.742614465
2038,0.214109741,0.189156814,0.164188663,0.176173375,0.062879992,0.062438902,0.062030155,0.062226354,28.08369584,23.8058813,19.81433819,21.73027888,0.653444322,0.715489045,0.772931341,0.745359039
2039,0.207123082,0.181103622,0.157708462,0.168938139,0.060746083,0.060390225,0.060027592,0.060201656,28.2022907,23.75074005,19.64795291,21.61729074,0.653722124,0.717717057,0.776186513,0.748121174
2040,0.198572254,0.173378279,0.150412585,0.161436118,0.058707768,0.058429463,0.058042295,0.058228136,28.30217497,23.6944852,19.33667958,21.42842628,0.654016063,0.719778852,0.779315715,0.750738021
2041,0.192623917,0.167672153,0.145206257,0.155989887,0.056804419,0.056550802,0.056173735,0.056354727,28.33666712,23.50685245,19.24578213,21.29109588,0.654188218,0.721467376,0.781870456,0.752876978
2042,0.186134058,0.162010178,0.139216092,0.150157253,0.054935163,0.054697857,0.054358281,0.054521277,28.45926883,23.40940252,18.98653494,21.10951137,0.654153098,0.723266112,0.784427908,0.755070246
2043,0.179825234,0.156252202,0.132687299,0.143998452,0.053077827,0.052868589,0.052584779,0.052721008,28.45110181,23.39162006,18.78224475,20.9947449,0.65430344,0.724633048,0.786649111,0.756881401
2044,0.174369815,0.14936814,0.127771463,0.138137868,0.051314451,0.051061826,0.050814604,0.05093327,28.61748622,23.31642774,18.51334385,20.81882412,0.654124886,0.726206534,0.788947272,0.758831718
2045,0.168358284,0.144155713,0.12269774,0.132997567,0.049555061,0.049288025,0.049037946,0.049157984,28.71138313,23.24456978,18.38860893,20.71947014,0.653989428,0.727288921,0.790931784,0.76038321
2046,0.163076486,0.13932557,0.118027981,0.128250824,0.047920926,0.047659801,0.047381579,0.047515126,28.7370122,23.19742116,18.24030769,20.61972216,0.653738978,0.728639783,0.793045392,0.762130699
2047,0.15770383,0.133348089,0.113127288,0.122833273,0.046286639,0.04604801,0.045802373,0.045920279,28.90770825,23.07009028,18.14005567,20.50647228,0.653543009,0.729954699,0.79468541,0.763614668
